manad,handelsnetto
201401,4000
201402,5000
201403,1000
201404,2600
201405,-1400
201406,4500
201407,1700
201408,-3300
201409,1400
201410,400
201411,-300
201412,400
201501,2100
201502,2600
201503,3100
201504,3200
201505,1900
201506,6200
201507,200
201508,-3300
201509,2100
201510,-3100
201511,-5200
201512,4000
201601,700
201602,-300
201603,1600
201604,2200
201605,-4000
201606,-300
201607,200
201608,-10500
201609,2700
201610,-3500
201611,-2100
201612,-1400
201701,800
201702,-1400
201703,-500
201704,-3900
201705,1100
201706,5500
201707,-2000
201708,-7100
201709,2400
201710,-1500
201711,-100
201712,-4000
201801,-3100
201802,-2400
201803,1600
201804,-6400
201805,-6000
201806,200
201807,-1400
201808,-7900
201809,2400
201810,-8000
201811,2800
201812,-4700
